Grade,Course,Period,Room,Mark1
10,AQF41UVT,3,206,74
10,SCF41,3,141,79
12,HQFC9TH,3,327,80
11,EEFG9QTR,3,350,77
10,FSFC1,3,114,81
9,EEFG1QB,3,146,76
9,MEF41QG,3,205,55
11,FSFC5,3,116,45
9,HGF82QTD,3,311,73
10,FSFC9H,3,123,93
12,MKFC9TC,3,322,70
9,PHF41Q2,3,B17,70
9,PPF41Q3B,3,GYM3,100
9,EEFG9HF,3,126,97
9,HGF81QTD,3,321,45
10,HUF41QG,3,334A,86
9,MEF41,3,203,65
12,SQF41QQY,3,233,100
12,MPF41UQJ,3,208,82
12,MCF41UAX,3,221,82
9,EEFG1QB,3,146,86
9,EEFG5QF,3,349,65
10,HUF41QG,3,334A,83
9,SLF41HGB,3,247,90
10,FFFC5H,3,111,92
12,BCF41T,3,332,80
12,PPF41Q2B,3,GYM3,55
11,SPF41H,3,238,90
10,PPF41Q3G,3,GYM2,95
10,UAF85Q2,3,227,65
9,PHF41H2,3,B17,96
9,PPF41Q3G,3,GYM2,75
11,EEFGDUQV,3,204,69
10,EEFG5QT,3,249,84
10,SCF41H,3,138,97
12,EEFGDUQX,3,347,80
12,UEFGD,3,B27,89
11,UEFG9H,3,B27,94
ST,EEFG5QG,3,249,87
12,MCF41UAX,3,221,76
12,MKFC9TC,3,322,72
11,MPF41UQJ,3,208,92
9,EEFG1QB,3,146,86
9,HUF41QW,3,326,78
9,PHF41H2,3,B17,100
9,PPF41Q3G,3,GYM2,100
9,SLF41QGB,3,247,82
11,FMFC5,3,215,74
9,HQF41QHB,3,333,85
12,EEFGDUQF,3,336,90
9,SLF41QB,3,229,89
11,PPF41Q3G,3,GYM1,95
10,EEFG5HF,3,349,99
10,MKFC1TC,3,108,100
11,SEF41,3,B30,89
10,SEF41,3,B30,70
12,HBF41X,3,314,65
10,HFF41H,3,315,93
10,MGF41,3,214,89
10,FLFC5H,3,122,90
11,BCF41T,3,332,72
11,PPF41Q2B,3,GYM3,90
11,EEFG9,3,331,75
10,EEFG5QG,3,249,77
10,EEFG9QF,3,126,80
12,MPF41UQS,3,219,65
11,PPF41Q3G,3,GYM2,100
11,PWF41Q2G,3,POOL,88
10,FMFC5H,3,215,98
11,HFF41,3,323,87
11,HFF41H,3,315,90
10,PPF41Q2B,3,GYM3,90
10,PPF41Q3B,3,GYM3,80
10,FMFC5H,3,115,100
10,MGF41,3,104,76
12,MPF41UQS,3,219,93
9,EEFG1QB,3,149,85
10,SEF41H,3,B30,96
9,PHF41H2,3,B17,98
9,PPF41Q3G,3,GYM1,80
11,AUFC9TA,3,232,97
10,FMFC5H,3,215,99
10,EEFG9QF,3,126,75
12,AUFC9TA,3,232,85
9,EEFG1QB,3,146,79
9,PHF41H3,3,231,93
9,PPF41Q2G,3,GYM2,100
12,HBF41X,3,314,78
9,EEFG1QB,3,146,85
9,HUF41QT,3,334A,70
10,SCF41,3,141,80
9,HGF81HGD,3,321,95
11,PPF41Q3B,3,GYM3,90
10,EEFG5,3,334B,45
10,SCF41,3,141,85
11,SEF41,3,B30,79
9,MEF41QG,3,205,72
9,EEFG1QGB,3,250,79
12,EEFGDUQX,3,347,83
9,HQF41HHB,3,333,90
11,FSFC5,3,107,75
9,EEFG9QF,3,126,75
12,HQFC9TH,3,327,82
10,EEFG9QT,3,125,83
10,MKFC1TC,3,108,83
10,MRF41,3,223,82
10,HUF41,3,324,70
9,EEFG1QTB,3,246,75
11,SHFC3TM,3,248,97
10,PPF41Q3G,3,GYM2,100
10,MKFC1TC,3,108,94
10,PPF41Q3G,3,GYM2,80
10,UAF41H2,3,227,97
11,HBF41X,3,314,93
11,FSFC9,3,123,88
10,PHF41H3,3,B17,98
10,PPF41Q2G,3,GYM1,93
9,HGF81QQD,3,213,80
9,FSFC1,3,114,55
12,MPF41UQS,3,219,65
11,EEFG9,3,331,81
9,EEFG1QB,3,149,85
10,MGF41QGF,3,105,65
12,EEFGDUQX,3,347,90
9,EEFG1HB,3,330,92
9,SLF41QB,3,211,79
12,PPF41Q2B,3,GYM3,90
9,PHF41Q3,3,231,80
9,PPF41Q2B,3,GYM3,100
12,EEFGDUQF,3,336,92
9,EEFG1QHB,3,346,80
11,PPF41Q3B,3,GYM3,95
10,FSFC1,3,207,88
9,EEFG1QB,3,146,85
11,EEFGDUQV,3,204,73
9,MGF41QGF,3,105,55
9,MEF41QT,3,205,55
12,HQF41QQY,3,317,99
10,HUF41H,3,338,95
11,FFFC1,3,113,65
12,PWF41Q2G,3,POOL,85
11,HBF41X,3,314,87
9,EEFG1QB,3,330,81
11,PPF41Q2G,3,GYM2,85
10,MKFC1TC,3,108,92
11,FKFC5H,3,124,98
10,FKFC5,3,124,86
11,EEFG9HGR,3,350,90
9,EEFG5QG,3,249,55
10,FLFC5,3,122,88
11,AQF41UVT,3,206,89
10,HUF41,3,324,70
9,HFF41,3,323,55
11,AWF85,3,B7,85
9,FSFC1,3,207,75
11,EEFGDUQF,3,336,88
10,AQF41UVT,3,206,84
9,SLF41QB,3,229,70
10,MGF41,3,104,75
12,HBF41X,3,314,92
12,FKFC9H,3,124,98
10,FKFC5H,3,124,99
12,AUFC9TA,3,232,70
12,PPF41Q2G,3,GYM2,80
10,MRF41,3,223,80
12,MCF41UAX,3,221,95
9,EEFG1QB,3,149,78
11,BCF41T,3,332,93
11,PPF41Q3B,3,GYM3,98
10,MRF41H,3,223,96
9,EEFG1QB,3,330,87
11,BCF41T,3,332,90
11,UAF85H3,3,227,99
9,EEFG1QTB,3,246,85
10,MRF41H,3,223,92
10,MRF41,3,225,86
12,PWF41Q2G,3,POOL,90
9,PHF41Q3,3,231,77
9,PPF41Q2G,3,GYM2,90
10,MKFC1TC,3,108,96
10,PWF41Q2G,3,POOL,80
11,HFF41,3,323,81
10,SPF41,3,238,85
11,MCF41UAX,3,221,91
10,MRF41,3,225,84
10,SEF41,3,B30,70
11,MCF41UAX,3,221,83
9,SLF41QTB,3,147,83
11,PPF41Q3B,3,GYM3,80
11,UAF85Q2,3,227,77
10,MRF41H,3,225,90
9,EEFG1QB,3,330,72
12,HQFC9TH,3,327,45
9,SLF41QB,3,211,70
9,SLF41QGB,3,147,85
9,FKFC5,3,124,45
11,PWF41Q2G,3,POOL,95
11,PWF41Q3G,3,POOL,93
9,EEFG9QF,3,126,45
11,MPF41UQJ,3,208,90
10,SPF41H,3,238,95
11,MGF41H,3,103,93
9,PHF41Q2,3,B17,83
9,PPF41Q3B,3,GYM3,95
11,BCF41T,3,332,89
11,PPF41Q2G,3,GYM1,88
10,MKFC1TC,3,108,86
9,HGF81HQD,3,213,95
9,SLF41QWB,3,328B,75
10,MGF41QGF,3,105,80
9,MEF41QT,3,205,65
12,SWF41QT,3,341,55
10,SCF41H,3,141,90
9,HGF82QTD,3,311,75
10,HFF41H,3,315,93
9,HGF81QGD,3,321,88
9,HGF82QGD,3,311,88
10,HUF41,3,324,45
10,ALF41,3,222,45
10,SHFC3TM,3,248,94
12,HQFC9TH,3,327,94
12,MPF41UQS,3,219,88
9,PPF41Q2G,3,GYM2,45
9,PHF41H2,3,B17,90
9,PPF41Q3G,3,GYM2,90
10,PPF41Q2G,3,GYM1,90
10,PPF41Q3G,3,GYM2,100
10,HUF41UQX,3,325,86
11,AWF81,3,228,45
10,FSFC9,3,123,70
11,EEFGDUQF,3,336,90
11,PPF41Q2B,3,GYM3,90
9,EEFG9QGR,3,350,70
12,FQF41QQY,3,216B,100
12,PPF41Q2B,3,GYM3,65
10,MGF41,3,214,80
12,ALF41,3,222,88
12,SPF41H,3,238,100
11,AWF85,3,B7,85
9,EEFG1QHB,3,346,86
11,BCF41T,3,332,87
11,PPF41Q3B,3,GYM3,98
11,MPF41UQJ,3,208,96
11,AWF85,3,B7,82
9,SLF41QGB,3,147,55
10,MGF41QTF,3,105,65
10,HUF41,3,324,88
9,EEFG1QB,3,149,85
12,HQFC9TH,3,327,100
9,PHF41H2,3,231,92
9,PPF41Q3G,3,GYM2,100
9,PPF41Q3B,3,GYM3,100
12,EEFGDUQX,3,347,85
9,SWF41QT,3,341,55
12,AUFC9TA,3,232,92
10,MKFC1TC,3,108,84
11,FLFC9,3,121,76
11,PPF41Q2G,3,GYM1,65
11,UAF85Q3,3,227,86
10,MRF41,3,225,82
11,FMFC5H,3,215,99
9,EEFG1QB,3,149,81
10,FKFC5H,3,124,97
12,FKFC9H,3,124,90
12,PPF41Q2B,3,GYM3,45
12,UAF41Q3,3,227,45
9,HGF81QQD,3,139,73
11,UEFG9H,3,B27,96
10,PPF41Q2G,3,GYM1,90
10,PPF41Q3G,3,GYM1,85
10,MGF41QGF,3,105,69
10,PPF41Q3B,3,GYM3,65
12,UAF85H2,3,227,94
12,HQFC9TH,3,327,90
11,EEFG9QG,3,125,86
10,BCF41T,3,332,87
10,PPF41Q2G,3,GYM1,95
11,PPF41Q3G,3,GYM2,80
11,UAF85Q2,3,227,84
10,PPF41Q3G,3,GYM2,97
12,MKFC9TC,3,322,65
9,HGF81QQD,3,139,85
11,FSFC5H,3,116,90
12,HQFC9TH,3,327,84
9,EEFG1HB,3,330,94
10,MGF41,3,214,83
11,BCF41T,3,332,87
11,PPF41Q3G,3,GYM2,100
11,HBF41X,3,314,95
12,ALF41H,3,222,93
10,HFF41H,3,323,91
10,PPF41Q2G,3,GYM1,95
10,PPF41Q3G,3,GYM2,100
9,HGF81HWD,3,329B,93
10,AQF41UVT,3,206,90
9,EEFG1HHB,3,346,93
10,HUF41,3,324,82
12,EEFGDUQF,3,336,88
11,FSFC5,3,116,80
12,AUFC9TA,3,232,97
11,HBF41X,3,314,96
12,PQF41Q2Y,3,251,100
12,PQF41Q3Y,3,251,100
10,PPF41Q3G,3,GYM2,100
9,FFFC1,3,113,82
11,PPF41Q2G,3,GYM2,95
11,UAF85Q3,3,227,78
9,PHF41H2,3,B17,99
9,PPF41Q3B,3,GYM3,100
11,PPF41Q2B,3,GYM3,100
11,PPF41Q3B,3,GYM3,90
9,PHF41H2,3,231,95
9,PPF41Q3G,3,GYM2,100
9,MGF41,3,104,78
9,SLF41QB,3,211,87
9,FFFC1,3,113,65
9,EEFG1QTB,3,250,83
12,PQF41Q2Y,3,251,100
12,PQF41Q3Y,3,251,100
10,EEFG9QT,3,125,69
12,HQFC9TH,3,327,84
11,HBF41X,3,314,80
12,AWF85,3,B7,86
9,SLF41QTB,3,247,87
11,MPF41UQJ,3,208,87
10,PPF41Q3G,3,GYM2,100
10,UAF85H2,3,227,98
10,HFF41,3,315,85
ST,EEFG5QG,3,249,70
10,FSFC1,3,207,69
9,SLF41QGB,3,147,85
12,HBF41X,3,314,89
12,UEFGDH,3,B27,100
11,EEFG9QG,3,125,87
10,FMFC5,3,115,78
9,FFFC1,3,113,65
10,EEFGDQW,3,226,65
11,EEFGDUQV,3,204,92
12,AUFC9TA,3,232,88
10,AQF41UVT,3,206,92
9,HGF82QQD,3,316,89
10,FKFC5H,3,124,99
10,PPF41Q2G,3,GYM1,90
10,PPF41Q3G,3,GYM1,94
10,PPF41Q2G,3,GYM2,95
11,HBF41X,3,314,95
10,FKFC5,3,124,72
12,MCF41UAX,3,221,96
9,EEFG1QHB,3,346,85
12,PQF41Q2Y,3,251,100
12,PQF41Q3Y,3,251,100
12,MPF41UQS,3,219,96
9,FQF41QQY,3,216B,100
11,MPF41UQJ,3,208,97
11,SWF41HG,3,341,94
11,MRF41H,3,225,93
11,MRF41,3,225,74
10,MKFC1TC,3,108,84
9,HGF81QGD,3,321,45
9,SLF41QGB,3,147,88
9,HQF41QHB,3,333,83
10,PPF41Q2B,3,GYM3,90
10,PPF41Q3B,3,GYM3,90
11,FKFC9,3,124,45
10,PPF41Q2G,3,GYM2,100
10,PPF41Q3G,3,GYM2,100
9,PHF41H3,3,231,90
9,PPF41Q2B,3,GYM3,90
10,MGF41,3,103,83
12,MPF41UQS,3,219,92
9,AWF81,3,228,88
9,FKFC5,3,124,68
11,EEFG9HG,3,125,90
12,HQFC9TH,3,327,96
11,EEFG9,3,331,76
10,MGF41,3,214,80
11,FKFC5H,3,124,90
11,AWF85,3,B7,89
12,HQFC9TH,3,327,87
11,HFF41,3,315,80
9,MEF41,3,203,75
9,EEFG1QHB,3,346,86
11,EEFGDUGJ,3,B6,80
11,PPF41Q2G,3,GYM2,84
11,PPF41Q3G,3,GYM2,87
10,FMFC5H,3,215,94
10,PPF41Q3B,3,GYM3,65
10,UAF41Q2,3,227,55
9,PPF41Q3B,3,GYM3,80
9,UAF85H2,3,227,95
9,PHF41H2,3,231,90
9,PPF41Q3B,3,GYM3,90
11,MPF41UQJ,3,208,90
9,EEFGDQW,3,226,86
11,EEFGDUQV,3,204,65
11,FFFC5H,3,111,92
9,HQF41HHB,3,333,98
9,EEFG1HB,3,330,92
10,HUF41QG,3,334A,86
10,MGF41H,3,214,92
9,MEF41QG,3,205,55
11,FLFC9,3,121,80
9,HQF41HHB,3,333,90
10,EEFG5,3,334B,83
10,MGF41H,3,103,95
9,EEFG1QHB,3,346,71
10,FLFC5H,3,122,91
9,EEFG1QHB,3,346,78
12,SQF41QQY,3,233,100
11,EEFG9,3,331,74
12,PPF41Q2B,3,GYM3,95
11,EEFG9,3,331,78
9,HGF82QQD,3,316,67
11,FSFC9,3,123,88
12,HQFC9TH,3,327,87
10,FSFC5H,3,116,94
10,MRF41H,3,225,95
9,SLF41HB,3,211,94
10,FKFC5H,3,124,97
9,SLF41QB,3,211,73
12,UEFGD,3,B27,89
9,HGF81QQD,3,139,85
10,MGF41H,3,103,97
11,FLFC9,3,121,78
11,UEFG9H,3,B27,93
9,SLF41QGB,3,247,79
9,HGF82QGD,3,313,82
10,HFF41,3,315,75
11,FKFC5,3,124,84
10,FMFC5,3,215,65
12,ALF41,3,222,77
11,UEFG9H,3,B27,98
10,PPF41Q2G,3,GYM1,90
10,PPF41Q3G,3,GYM2,100
12,FQF41QQY,3,216B,100
9,EEFG9QF,3,126,80
11,EEFGDUQV,3,204,95
10,AQF41UVT,3,206,93
11,MRF41,3,223,75
10,PWF41Q2G,3,POOL,88
10,PWF41Q3G,3,POOL,90
9,MEF41QG,3,205,65
10,EEFG9,3,331,55
9,AQF41UVT,3,206,55
9,HGF82QQD,3,316,65
10,FSFC1,3,207,81
12,MPF41UQS,3,219,73
9,HGF82QQD,3,316,71
10,MGF41,3,104,78
11,MGF41,3,104,69
9,PHF41H3,3,B17,90
9,PPF41Q2B,3,GYM3,100
9,HGF81QQD,3,139,65
9,SLF41HGB,3,147,95
9,EEFGDUGJ,3,B6,65
12,MCF41UAX,3,221,79
12,PHF41Q3,3,231,85
10,MEF41,3,203,72
9,HQF41QHB,3,333,85
12,EEFGDUQX,3,347,85
10,HUF41HG,3,334A,96
10,HUF41,3,324,75
11,UEFGDH,3,B27,90
10,SWF41HG,3,341,93
11,AWF85H,3,B7,94
10,SCF41,3,138,74
10,HUF41H,3,338,98
9,HGF82QTD,3,313,65
10,MEF41QT,3,205,78
11,SHFC3TM,3,248,97
10,BCF41T,3,332,80
10,PPF41Q3B,3,GYM3,95
12,MGF41,3,214,83
10,FKFC5,3,124,77
10,FKFC9,3,124,65
9,EEFG1QB,3,330,85
11,PWF41Q2G,3,POOL,90
11,PWF41Q3G,3,POOL,90
9,EEFG1QB,3,149,65
10,PPF41Q2B,3,GYM3,90
10,UAF85Q3,3,227,72
11,SCF41H,3,141,92
10,EEFG9QF,3,126,80
12,MCF41UAX,3,221,90
11,HBF41X,3,314,88
11,MKFC1TC,3,108,88
9,FKFC5H,3,124,96
12,SQF41QQY,3,233,100
10,PPF41Q2G,3,GYM2,100
10,PPF41Q3G,3,GYM2,97
10,FKFC9,3,124,88
10,MGF41QTF,3,105,45
10,FKFC5,3,124,84
12,MCF41UAX,3,221,65
9,SLF41QTB,3,247,82
12,ULFC9TP,3,B39,94
9,FKFC5,3,124,78
9,PHF41Q2,3,B17,86
9,PPF41Q3B,3,GYM3,65
9,EEFG1QB,3,146,78
10,HUF41HT,3,334A,95
10,AQF41UVT,3,206,88
10,SCF41,3,138,86
9,PHF41H3,3,B17,95
9,PPF41Q2B,3,GYM3,90
10,PPF41Q2B,3,GYM3,90
10,UAF85H3,3,227,96
12,ALF41H,3,222,90
9,PHF41Q3,3,B17,65
9,PPF41Q2B,3,GYM3,90
9,PHF41H3,3,B17,92
9,PPF41Q2B,3,GYM3,95
11,MPF41UQJ,3,208,89
12,EQF41QQY,3,328A,95
12,FKFC9,3,124,87
12,MGF41,3,103,55
10,PPF41Q3B,3,GYM3,65
10,UAF41Q2,3,227,72
9,HGF82QQD,3,316,73
9,HGF81QQD,3,139,55
11,BCF41T,3,332,87
11,PPF41Q3G,3,GYM2,79
10,MGF41H,3,103,90
9,EEFG1QB,3,146,70
10,MRF41,3,225,83
12,SQF41QQY,3,233,100
10,HUF41H,3,338,96
11,FSFC5H,3,107,98
12,ALF41,3,222,87
9,FFFC1,3,113,45
10,EEFGDUGJ,3,B6,55
12,HQFC9TH,3,327,84
10,MEF41QT,3,205,82
10,PPF41Q2B,3,GYM3,95
10,PPF41Q3B,3,GYM3,90
10,HUF41QT,3,334A,85
11,HQF41QHB,3,333,86
12,EEFGDUTJ,3,B6,80
10,EEFG5HG,3,249,93
10,AQF41UVT,3,206,91
9,SLF41HB,3,211,94
9,PPF41Q2G,3,GYM1,92
9,PPF41Q3G,3,GYM2,97
9,HQF41QHB,3,333,85
10,PPF41Q3B,3,GYM3,95
10,UAF41H2,3,227,97
10,MGF41QTF,3,105,65
11,SWF41HG,3,341,95
9,SEF41H,3,B30,92
10,MGF41QGF,3,105,89
9,UEFG9,3,B27,80
10,MGF41,3,104,85
10,SCF41,3,138,55
9,MGF41H,3,104,100
10,MKFC1TC,3,108,55
10,MGF41,3,214,83
11,MCF41UAX,3,221,92
10,FSFC5,3,116,70
11,FMFC5H,3,115,99
10,MGF41,3,104,73
10,PPF41Q3B,3,GYM3,90
10,UAF41H2,3,227,97
12,MPF41UQS,3,219,77
10,SCF41,3,138,75
11,MRF41,3,225,79
9,MEF41H,3,203,92
9,EEFG9QF,3,126,80
11,HBF41X,3,314,85
10,PPF41Q2G,3,GYM2,100
10,PPF41Q3G,3,GYM2,100
10,EEFG5QG,3,249,65
9,PPF41Q3B,3,GYM3,90
9,UAF85Q2,3,227,65
10,SCF41H,3,141,97
11,FMFC5H,3,215,97
10,HUF41HG,3,334A,94
10,EEFG9QF,3,126,55
11,PPF41Q2B,3,GYM3,95
9,SLF41HB,3,211,94
11,SHFC3TM,3,248,99
11,AWF81H,3,228,98
11,FMFC5H,3,215,100
9,PHF41H3,3,231,98
9,PPF41Q2B,3,GYM3,90
12,MCF41UAX,3,221,80
10,BCF41T,3,332,80
10,PPF41Q2B,3,GYM3,95
9,EEFG5QF,3,349,81
9,MEF41HG,3,205,90
9,HGF82QTD,3,311,74
9,HGF82QTD,3,313,72
11,FSFC9,3,123,78
10,EEFG5QG,3,249,75
12,MRF41,3,223,76
10,EEFG9,3,331,81
11,MCF41UAX,3,221,81
11,EEFG9,3,331,83
9,SLF41QB,3,229,65
12,MQF41QQY,3,204A,100
10,MGF41,3,104,77
9,MEF41QT,3,205,83
10,SCF41,3,141,65
12,ULFC9TP,3,B39,89
9,PPF41Q3B,3,GYM3,95
9,UAF41Q2,3,227,86
9,EEFG5QF,3,349,71
12,MPF41UQS,3,219,86
10,SCF41,3,141,65
9,MGF41H,3,214,94
10,FSFC9,3,123,68
9,PHF41Q3,3,231,84
9,PPF41Q2G,3,GYM2,95
9,MEF41HG,3,205,99
10,HUF41,3,338,78
11,PPF41Q2G,3,GYM2,100
11,PPF41Q3G,3,GYM2,100
10,MGF41,3,103,82
9,HGF81HQD,3,213,93
9,PHF41Q3,3,231,89
9,PPF41Q2B,3,GYM3,95
11,MRF41,3,225,71
9,SLF41QWB,3,328B,80
12,PQF41Q2Y,3,251,100
12,PQF41Q3Y,3,251,100
10,FMFC5H,3,215,99
11,MPF41UQJ,3,208,94
10,MGF41H,3,214,91
10,MGF41QGF,3,105,88
10,SHFC3TM,3,248,100
9,SLF41HB,3,211,90
9,PHF41H3,3,B17,98
9,PPF41Q2B,3,GYM3,95
10,PPF41Q2G,3,GYM2,100
10,UAF85H3,3,227,92
9,HGF82QQD,3,316,88
9,MEF41H,3,203,90
9,SLF41HGB,3,147,90
11,SWF41HG,3,341,93
9,HGF81QQD,3,139,83
10,EEFG5QG,3,249,78
10,HQF41HHB,3,333,90
11,HUF41,3,338,65
11,HUF41,3,324,79
12,MCF41UAX,3,221,78
9,PPF41Q2B,3,GYM3,90
9,PPF41Q3B,3,GYM3,90
10,MRF41H,3,223,100
11,EEFG9HGR,3,350,90
10,PPF41Q2G,3,GYM1,96
10,PPF41Q3G,3,GYM2,100
9,SLF41QB,3,229,65
11,UEFGDH,3,B27,92
10,MGF41HGF,3,105,91
11,EEFG9,3,331,78
10,HUF41,3,324,78
10,HUF41HG,3,334A,98
9,PHF41Q2,3,B17,68
9,PPF41Q3B,3,GYM3,95
10,AQF41UVT,3,206,97
9,EEFG5QFW,3,349,73
9,PHF41H3,3,B17,94
9,PPF41Q2G,3,GYM1,87
12,ULFC9TP,3,B39,94
10,MGF41H,3,214,94
9,EEFG5QF,3,349,83
9,PHF41Q2,3,231,65
9,PPF41Q3G,3,GYM1,85
9,PHF41Q3,3,231,73
9,PPF41Q2B,3,GYM3,90
10,PPF41Q2G,3,GYM1,92
10,PPF41Q3G,3,GYM2,100
11,HFF41,3,315,70
11,MRF41,3,223,66
12,EEFGDUQX,3,347,78
10,PPF41Q2B,3,GYM3,75
10,PPF41Q3B,3,GYM3,80
10,FSFC1H,3,114,97
9,EEFG1HHB,3,346,91
10,FLFC5,3,122,85
11,HFF41,3,315,55
11,HBF41X,3,314,91
11,HFF41H,3,315,98
9,EEFG1QTB,3,246,83
10,FSFC9H,3,123,98
11,MRF41,3,223,65
12,MCF41UAX,3,221,89
10,MGF41,3,103,80
10,FFFC5,3,111,85
10,MGF41H,3,214,92
9,PPF41Q3B,3,GYM3,65
9,UAF41Q2,3,227,67
11,EEFG9QT,3,125,81
9,HGF82QQD,3,316,85
9,EEFG1QGB,3,250,67
12,FSFC9,3,123,65
11,MPF41UQJ,3,208,72
10,EEFG5QG,3,249,80
12,EQF41QQY,3,328A,100
10,BCF41T,3,332,89
10,PWF41Q3G,3,POOL,90
9,PPF41Q3G,3,GYM2,95
9,UAF41Q2,3,227,83
9,EEFGDHW,3,226,97
11,MRF41,3,225,71
11,PPF41Q3B,3,GYM3,90
11,UAF85Q2,3,227,76
9,SLF41QB,3,211,86
9,SLF41QB,3,229,75
11,SCF41H,3,138,91
9,EEFG5QFW,3,349,71
9,PHF41Q2,3,B17,45
9,UAF85Q3,3,227,55
12,ALF41,3,222,76
12,SPF41,3,238,77
9,HGF82QQD,3,316,81
12,MKFC9TC,3,322,88
9,SLF41HGB,3,247,97
10,FMFC5H,3,115,100
12,EEFG5QF,3,349,88
11,HBF41X,3,314,82
11,HFF41,3,323,89
10,MGF41QGF,3,105,73
10,SCF41,3,141,74
12,MKFC9TC,3,322,89
10,SCF41,3,141,75
11,FSFC5,3,116,65
11,EEFG9QTR,3,350,77
10,MGF41QGF,3,105,66
10,HUF41H,3,338,98
9,HGF81QQD,3,139,80
9,SLF41QB,3,229,88
9,MEF41,3,203,70
10,HUF41QG,3,334A,45
9,SLF41QWB,3,328B,55
11,PPF41Q3B,3,GYM3,95
10,FSFC1,3,207,66
11,MGF41,3,103,72
11,SCF41H,3,138,90
10,MPF41UQJ,3,208,82
11,HQF41HHB,3,333,90
9,EEFG1HB,3,146,91
9,HGF81QWD,3,329B,81
10,PPF41Q2B,3,GYM3,95
10,PPF41Q3B,3,GYM3,100
10,SCF41,3,138,79
9,PPF41Q2B,3,GYM3,85
9,PPF41Q3B,3,GYM3,65
10,HFF41H,3,315,90
9,FSFC1,3,207,75
10,FLFC5,3,122,88
12,EEFGDUQV,3,204,87
10,FSFC5,3,116,55
12,SQF41QQY,3,233,100
9,SLF41QB,3,211,86
11,AWF85H,3,B7,97
10,HUF41UQX,3,325,92
11,EEFG9,3,331,73
9,HGF82QGD,3,311,83
9,HGF81QTD,3,321,65
11,FFFC5,3,111,82
11,FLFC9,3,121,65
11,FSFC5H,3,116,92
9,EEFG1QB,3,149,75
11,PPF41Q2G,3,GYM2,90
11,PPF41Q3G,3,GYM2,80
9,EEFG1QTB,3,246,85
10,PPF41Q3B,3,GYM3,65
10,UAF41Q2,3,227,76
11,SWF41QG,3,341,84
11,FSFC5,3,116,65
9,HGF81QWD,3,329B,70
11,MGF41,3,103,82
11,ALF41,3,222,65
10,FSFC5,3,116,80
11,MPF41UQJ,3,208,91
11,SPF41,3,238,85
12,EEFGDUQF,3,336,90
9,HFF41,3,315,65
10,PWF41Q3G,3,POOL,90
10,PPF41Q3B,3,GYM3,95
10,UAF85Q2,3,227,67
10,SHFC3TM,3,248,94
12,ULFC9TP,3,B39,76
11,EEFG9QT,3,125,85
11,ALF41H,3,222,95
9,HGF82QGD,3,313,87
10,EEFG5HG,3,249,94
10,HUF41UQX,3,325,87
11,AWF81H,3,228,90
11,PPF41Q3G,3,GYM1,90
11,PWF41Q2G,3,POOL,90
12,EEFGDUQF,3,336,90
9,SHFC3TM,3,248,88
12,EEFGDUQX,3,347,75
10,BCF41T,3,332,83
10,PPF41Q2B,3,GYM3,95
11,SWF41QG,3,341,87
12,ULFC9TP,3,B39,89
9,EEFG5,3,334B,55
9,HGF82QGD,3,311,83
9,PHF41Q3,3,231,71
9,PPF41Q2B,3,GYM3,70
12,EQF41QQY,3,328A,100
12,MPF41UQS,3,219,65
9,EEFG1QB,3,146,80
12,UAF85Q3,3,227,73
9,HGF82QGD,3,313,71
11,EEFGDUQF,3,336,90
10,PPF41Q3G,3,GYM1,100
9,AWF81,3,228,66
12,EEFGDUQV,3,204,71
11,PQF41Q2Y,3,251,100
11,PQF41Q3Y,3,251,100
9,EEFG5QW,3,348,65
11,MPF41UQS,3,219,80
9,EEFG5QF,3,349,55
9,SLF41QB,3,229,77
10,FSFC9,3,123,65
11,MPF41UQJ,3,208,92
9,PHF41H3,3,B17,94
9,PPF41Q2G,3,GYM1,75
12,AWF81,3,228,71
9,FFFC1,3,113,45
9,SLF41QB,3,211,77
11,BCF41T,3,332,65
11,PPF41Q2G,3,GYM1,70
11,AWF81,3,228,88
12,EEFGDUQV,3,204,78
9,EEFG1QGB,3,246,65
9,EEFGDHW,3,226,92
9,HGF81HQD,3,213,93
11,PPF41Q3B,3,GYM3,75
10,EEFG5QG,3,249,86
9,HGF81HGD,3,321,96
12,SQF41QQY,3,233,100
10,EEFG5QT,3,249,87
9,EEFG1QTB,3,246,65
9,HGF82QGD,3,313,70
12,PPF41Q2B,3,GYM3,65
10,PHF41H2,3,B17,94
10,PPF41Q3B,3,GYM3,98
9,EEFG1QGB,3,246,79
10,PWF41Q3G,3,POOL,92
11,HFF41,3,323,55
11,AWF85,3,B7,75
9,HQF41HHB,3,333,90
9,HGF81QQD,3,139,80
9,EEFG1QB,3,149,76
11,MGF41,3,214,67
11,AWF85,3,B7,85
12,PPF41Q2B,3,GYM3,90
12,UAF41Q3,3,227,68
11,PPF41Q2G,3,GYM2,55
11,PPF41Q3G,3,GYM2,55
9,SLF41QGB,3,247,86
11,EEFG9QG,3,125,87
9,FFFC1,3,113,86
10,PPF41Q2G,3,GYM2,100
10,PPF41Q3G,3,GYM2,84
11,PPF41Q2G,3,GYM1,97
11,PPF41Q3G,3,GYM1,94
10,EEFG5QW,3,348,45
11,MGF41,3,104,77
11,AWF85,3,B7,86
9,MEF41,3,203,55
10,EEFG5,3,334B,65
10,HUF41H,3,338,93
10,FMFC5H,3,115,95
11,EEFG9,3,331,45
