Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2020,"12        ",Male,16,Right-Handed,174,24,150,1,"Rail (Train/Tram/Subway)",90,0.441,35,Swimming,1000,1000,1000,1000,1000,1000,24,"Same length",81,81,"Same length",October,Spring,Yes,No,Other,Water,"Social studies",6,10,3,"Yes - broadband connection","Internet chat or instant messaging",200,448,2,0,10,5,1,1,5,9,30,6,6,2,"A lot","Graduate degree",Techno/Electronic,"Freeze time",Healthy,"Community leader or elder","Arts, culture, sports"
USA,NY,2020,"12        ",Male,17,Right-Handed,175,27,176,2,"Rail (Train/Tram/Subway)",70,0.352,30,Soccer,1000,1000,1000,1000,900,900,26,"Right foot",8,8,"Same length",March,Summer,No,No,Fruit,Water,Science,7,9,5,"Yes - broadband connection","Text messaging",10,12,4,1,4,4,2,5,2,2,10,0,1,10,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"International aid"
USA,NY,2020,"12        ",Male,18,Right-Handed,178,27.5,,3,Bus,20,10,44,Basketball,,,,,,,,,,,,,,,,,,,,,,"Yes - dial-up connection","Text messaging",50,40,,,,,,,,,,,,,Some,"Some college",Country,,Rich,"Business person","International aid"
USA,NY,2020,"10        ",Male,16,Right-Handed,,,,1,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"11        ",Female,16,Right-Handed,162.6,20,,2,Car,35-45,"1.5 ",45,Basketball,,,,,,,,,,"76.2 ","Index finger",March,Spring,Yes,No,Seafood,"Energy drink",Art,4,4,5,"Yes - broadband connection","Text messaging",2,10,0,1,14,14,7,0,7,7,21,28,0,14,"Very little","Graduate degree",Reggae,"Freeze time",Happy,"Musician or singer",Religious
USA,NY,2020,"10        ",Male,16,Right-Handed,177.8,25.4,177.8,4,Walk,15,.31,23,Dancing,499,1000,0,0,1000,800,25.4,"Same length",76.2,63.5,"Index finger",December,Spring,Yes,No,Meat,"Soft drink (caffeinated)",History,5,8,3,,"Text messaging",50,100,30,2,4,3,2,30,40,160,30,4,0,0,"A lot","High school",Reggae,"Freeze time",Rich,"Religious figure","International aid"
USA,NY,2020,"12        ",Male,17,Left-Handed,166cm,24.1,160cm,1,Car,"9 min",0.357,45,Lacrosse,900,900,700,900,0,0,24,"Right foot",70,65,"Index finger",November,Summer,Yes,No,Meat,Water,"Social studies",9,9,"3-4 ","Yes - broadband connection","Text messaging",100,100,9,<1,1,5,14,0,4,3,4,3,20,1,None,"Undergraduate degree","Rap/Hip hop",Fly,Happy,Relative,"Arts, culture, sports"
USA,NY,2020,"12        ",Female,17,Right-Handed,173,22,170,2,Car,5,0.447,43,Soccer,1000,1000,1000,1000,500,800,22,"Same length",750,800,"Ring finger",October,Fall,No,No,Pizza/Pasta,Water,Science,7,8,4,"Yes - other","Text messaging",100,800,15,2,5,5,10,2,11,8,5,2,10,2,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"International aid"
USA,NY,2020,"12        ",Female,17,Right-Handed,193,23.8,160,2,Car,10,0.606,47,Running/Jogging,900,500,800,900,500,600,23.8,"Same length",85,,"Same length",June,Summer,Yes,No,Pizza/Pasta,Water,Art,8,11,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,20,3,12,16,9,4,0,12,3,6,18,6,4,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Actor,"International aid"
USA,NY,2020,"12        ",Male,17,Right-Handed,82,26.5,181,1,"Rail (Train/Tram/Subway)",50,0.373,31,Soccer,845,449,663,754,134,786,27,"Left foot",75,80,"Ring finger",December,Fall,No,No,Fruit,Water,History,6.5,9,4,"Yes - broadband connection","In person",200,150,10,4,22,11,6,4,10,4,5,1,0,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"International aid"
USA,NY,2020,"12        ",Male,17,Right-Handed,160,26.5,159,4,"Rail (Train/Tram/Subway)",30,0.41,46,Dancing,872,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"12        ",Female,18,Right-Handed,180,14,168,2,Car,7,.427,37,Walking/Hiking,647,947,947,775,872,877,15,"Left foot",72,67,"Index finger",March,Fall,No,No,Fruit,Water,"Mathematics and statistics",6,7,3,"Yes - broadband connection","Text messaging",55,75,6,2,10,15,7,0,4,4,2,8,40,21,"A lot","Graduate degree",Country,"Freeze time",Happy,Relative,"Wildlife, animals"
USA,NY,2020,"10        ",Male,17,Right-Handed,176,24,184,1,Car,10,0.261,36,Basketball,750,750,600,800,100,450,23,"Right foot",3.2'',3.3'',"Ring finger",September,Summer,Yes,No,Meat,Water,"Physical education",6,8-9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",8,15,6,1,4,10,20,30,12,6,25,3,0,8,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,"Sports person",Health
USA,NY,2020,"12        ",Male,18,Right-Handed,183,33,185,2,Car,5,0.345,43,Lacrosse,700,600,1000,1000,1000,1000,32,"Right foot",76,79,"Ring finger",December,Summer,No,No,"Rice/Noodle dishes",Water,Science,6,8,7,"Yes - broadband connection","In person",103,120,25,2,35,70,30,10,20,15,30,3,35,10,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,NY,2020,"11        ",Male,16,Right-Handed,182.8,32,44,1,Car,6,.389,44,"Football (American)",600,650,550,600,700,900,31,"Right foot",60,65,"Ring finger",March,Spring,Yes,No,Poultry,Water,English,7,8.5,3,"Yes - broadband connection","Cell phone",2,2,7,0,5,2,2,3,0,0,2,1,7,.5,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Wildlife, animals"
USA,NY,2020,"12        ",Female,17,Right-Handed,164,24,165,2,Car,15,0.612,37,Walking/Hiking,1000,800,900,1000,1000,1000,24,"Same length",68,72,"Ring finger",December,Fall,Yes,No,Desserts,Water,"Social studies",5,9,4,"Yes - broadband connection","Text messaging",2,0,0,0,20,10,7,0,40,0,40,8,0,7,"A lot","Graduate degree",Pop,Telepathy,Happy,Politician,"International aid"
USA,NY,2020,"12        ",Male,17,Left-Handed,185.4,"25.4 ","50.8 ",One,"Rail (Train/Tram/Subway)",35,0.694,59,Dancing,1000,600,700,800,700,800,"9 cm","Right foot",101.6,88.9,"Index finger",July,Summer,No,No,"No favorite",Water,Art,8,6,5,"Yes - broadband connection","Text messaging",8,5,"40 ",20,20,30,30,20,30,20,20,20,30,20,Some,"Graduate degree",Pop,Telepathy,Happy,Actor,Environment
USA,NY,2020,"12        ",Male,17,Right-Handed,170,26,161,1,Car,9,0.388,45,Cycling,861,695,492,652,759,775,26,"Same length",65,70,"Ring finger",June,Fall,Yes,Yes,Pizza/Pasta,Water,Art,7,9,3,"Yes - other","Text messaging",45,40,4,1,8,10,4,0,15,12,50,8,0,3,"A lot","Undergraduate degree",Pop,Invisibility,Healthy,"Business person",Environment
USA,NY,2020,"12        ",Male,17,Right-Handed,198,28,208,1,Walk,5,0.504,64,Basketball,70,70,70,70,70,70,28,"Same length",76.2,88.9,"Ring finger",December,Winter,No,No,Meat,Water,,7,9,3,"Yes - broadband connection","Text messaging",20,40,0,0,4,3,3,1,30,1,60,0,0,0,Some,"Undergraduate degree","Heavy metal",Fly,Happy,"Musician or singer",Other
USA,NY,2020,"12        ",Male,17,Right-Handed,160,26.5,159,4,"Rail (Train/Tram/Subway)",30,0.41,46,Dancing,872,506,134,856,1000,1000,26,"Right foot",80,80,"Same length",July,Summer,No,Yes,Pizza/Pasta,Water,"Mathematics and statistics",8,8,4,"Yes - broadband connection","Text messaging",200,450,7,,,,,,,,,,,,,,,,,,
USA,NY,2020,"12        ",Female,17,Left-Handed,62,10,60,1,"Rail (Train/Tram/Subway)",42,.328,49,Running/Jogging,551,604,781,658,856,947,10,"Same length",65,80,"Ring finger",August,Summer,No,No,Seafood,Water,English,5,9,2,"Yes - broadband connection","Text messaging",8,16,5,1,18,7,5,0,3,3,21,3,0,5,"A lot","Graduate degree","Rhythm and blues (R&B)","Freeze time",Happy,"Musician or singer","International aid"
USA,NY,2020,"12        ",Male,17,Right-Handed,5'7,26,45,2,"Rail (Train/Tram/Subway)",20,0.392,43,Baseball/Softball,888,936,872,979,658,775,23,"Same length",90,88,"Index finger",November,Fall,Yes,No,Meat,Water,English,6,9,2,"Yes - broadband connection","Text messaging",25,18,12,1,26,15,3,7,8,1,27,14,0,8,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Friend,Health
USA,NY,2020,"12        ",Female,17,Right-Handed,175,24,172,1,Car,13,0.424,47,Swimming,503,465,476,460,904,973,25,"Left foot",70,80,"Ring finger",May,Summer,Yes,No,Desserts,Water,English,7,6,4,"Yes - broadband connection","Text messaging",45,50,5,1,8,2,12,1,6,2,10,5,25,1.5,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,NY,2020,"12        ",Female,17,Right-Handed,168.9,25.1,155.1,1,Car,15,0.354,36,Dancing,1000,1000,877,578,358,529,25.1,"Same length",83,71,"Index finger",September,Summer,Yes,No,Salads,Water,"Mathematics and statistics",7,8,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",23,24,4,24,16,3,15,3,10,10,30,2,6,3,"A lot","Graduate degree",Pop,"Super strength",Happy,Relative,Religious
USA,NY,2020,"12        ",Male,17,Ambidextrous,5.7,29.5,63cm,1,"Rail (Train/Tram/Subway)",35min,.5s,.44s,Basketball,1000,800,600,400,0,200,29.5,"Same length",,105,"Ring finger",January,Winter,Yes,No,Poultry,Water,"Physical education",6,8,4,"Yes - broadband connection","Internet chat or instant messaging",0,0,"4 ",1,2,4,5,0,10,1,10,4,0,1,Some,"Graduate degree","Rap/Hip hop",Fly,Healthy,"Sports person","International aid"
USA,NY,2020,"12        ",Female,18,Right-Handed,161,22,164,3,Car,11,0.571,41,Other,1000,882,856,1000,845,914,22,"Same length",76,70,"Index finger",April,Summer,Yes,Yes,"Rice/Noodle dishes",Coffee,Science,6,8,3,"Yes - broadband connection","Text messaging",110,130,2,1,21,14,4,1,35,28,77,21,3,6,"A lot","Graduate degree",Other,Telepathy,Healthy,Relative,"Education/Youth development"
USA,NY,2020,"12        ",Female,17,Right-Handed," 173",24,163,3,"Rail (Train/Tram/Subway)",20,0.33,54,Athletics,904,743,797,578,1000,1000,24.5,"Left foot",75,65,"Index finger",March,Summer,No,No,"No favorite",Water,Other,6,8,6,"Yes - broadband connection","In person",60,150,30,3,10,24,2,0,28,5,100,15,15,5,"A lot","Graduate degree",Other,Fly,Healthy,Relative,Health
USA,NY,2020,"12        ",Female,17,Right-Handed,170cm,22,159,1-2,Car,"12 ",0.799,37,Soccer,1000,800,800,800,400,400,20,"Right foot",76,71,"Index finger",March,Winter,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",6,9,3,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",32,78,15,8,10,20,5,0,5,2,9,3,19,5,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Doctor or nurse",Health
USA,NY,2020,"12        ",Male,17,Left-Handed,177.6,26,168,2,Car,12,.22,38,"Football (American)",1000,1000,1000,1000,1000,1000,26,"Same length",90,98,"Ring finger",March,Fall,Yes,No,Poultry,Water,History,6,10,4,"Yes - broadband connection","Internet chat or instant messaging",20,30,6,,,,,,,,,,,,,,,,,,Health
USA,NY,2020,"12        ",Female,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"12        ",Female,17,Right-Handed,67,26.5,171.5,3,Walk,18,.581,45,"Martial Arts",960,910,960,970,965,970,27,"Left foot",70,72,"Ring finger",May,Spring,No,No,"Rice/Noodle dishes",Water,Languages,8,10,4,"Yes - broadband connection","In person",5,6,4,1.5,,,,,,,,,,,,,,,,,
USA,NY,2020,"12        ",Female,17,Right-Handed,154.9,25.4,152.4,1,Bus,90,5,50,Basketball,500,450,550,200,50,50,26.4,"Left foot",70,50,"Index finger",March,Spring,Yes,No,"No favorite",Juice,"Physical education",5,8,3,"Yes - broadband connection","Text messaging",100,100,20,2,10,5,15,0,50,50,50,6,8,2,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"International aid"
USA,NY,2020,"12        ",Male,16,Ambidextrous,173,"26 ",175,1,Car,10,.302,40,Baseball/Softball,300,300,400,200,900,900,26,"Same length",108,102,"Index finger",October,Summer,No,No,Meat,"Soft drink (caffeinated)",Other,6,10,5,"Yes - broadband connection","Text messaging",75,200,"10 ",2,12,6,4,8,20,5,40,10,2,.25,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,"Arts, culture, sports"
USA,NY,2020,"10        ",Female,16,Right-Handed,173.9,24.13,184,1,Bus,35,0.304,30,"Football (American)",1000,1000,1000,1000,0,100,25.4,"Right foot",77,76.2,"Index finger",April,Fall,No,No,"No favorite",Water,"Physical education",5,10,3,"Yes - broadband connection","Text messaging",70,100,0,50,18,5,2,10,10,50,20,2,0,7,"A lot","Some college",Other,"Freeze time",Happy,"Musician or singer",Other
USA,NY,2020,"12        ",Female,17,Right-Handed,151,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
