Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2020,"10        ",Female,15,Right-Handed,153,24,153,2,Car,18,0.420,38,Tennis,786,684,679,684,214,209,25,"Left foot",80,70,"Index finger",July,Fall,Yes,No,"No favorite",Water,Art,5,3,4,"Yes - other","Cell phone",50,30,1,6,3,2,4,9,6,2,6,1,7,3,"A lot","Some college","Rock and roll",Telepathy,Happy,Relative,"Arts, culture, sports"
USA,NY,2020,"12        ",Female,17,Right-Handed,5'2,8,62,1,Bus,10,1.546,60,Athletics,1000,1000,0,1000,503,1000,7,"Same length",,,"Index finger",,Spring,No,No,Pizza/Pasta,Water,Languages,7,5,6,"No internet connection","Text messaging",8,6,35,25,15,20,0,0,0,15,40,10,10,2,"A lot","Undergraduate degree","Rhythm and blues (R&B)","Freeze time",Happy,Actor,"International aid"
USA,NY,2020,"12        ",Female,18,Right-Handed,155,23,71,2,"Rail (Train/Tram/Subway)",15,0.435,56,Running/Jogging,500,500,770,800,1000,1000,22,"Right foot",70,80,"Ring finger",January,Summer,No,No,Pizza/Pasta,Water,Science,8,10,4,"Yes - broadband connection","Text messaging",56,55,25,4,7,20,5,6,12,18,22,10,0,8,Some,"Graduate degree",Pop,Fly,Happy,Relative,Health
USA,NY,2020,"11        ",Female,16,Right-Handed,158cm,23cm,58cm,2,Car,5,0.403,48,Soccer,684,492,599,481,802,1000,22cm,"Right foot",80,80,"Same length",September,Fall,No,No,Pizza/Pasta,Tea,Science,7,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",38,114,1,0,3,1,2,0,4,1,2,3,0,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"International aid"
USA,NY,2020,"12        ",Female,17,Right-Handed,168,289,,1,"Rail (Train/Tram/Subway)",40,0.355,33,Athletics,791,786,487,620,492,455,,"Right foot",,,"Ring finger",June,Spring,No,No,"No favorite",Water,Science,6,12,4,"Yes - broadband connection","Text messaging",20,40,15,3,25,6,7,1,10,2,10,3,6,1,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,"Education/Youth development"
USA,NY,2020,"12        ",Female,16,Right-Handed,"153 ","22 ",159,1,Walk,"5 ",.421,32,Walking/Hiking,900,900,1000,1000,320,550,23,"Left foot",76,64,"Index finger",November,Fall,Yes,No,Fruit,Water,Languages,6-7,8,4,"Yes - broadband connection","Text messaging",20,25,24,2,50,20,10,1,10,10,50,9,0,10,Some,"Graduate degree",Other,"Freeze time",Happy,Other,"Education/Youth development"
USA,NY,2020,"12        ",Female,17,Right-Handed,173,23,172,3,Bus,45,0.44,50,None,900,900,800,700,500,500,23,"Same length",75,70,"Index finger",June,Summer,No,No,Pizza/Pasta,Water,Science,6,10,5,"Yes - broadband connection","Text messaging",150,180,5,3,28,22,5,1,35,7,42,1,0,8,Some,"Undergraduate degree",Pop,Telepathy,Happy,Relative,"International aid"
USA,NY,2020,"12        ",Female,16,Right-Handed,173,24,163,2,Car,6,0.326,56,Walking/Hiking,990,800,500,900,500,900,24,"Same length",89,91,"Ring finger",October,Fall,Yes,No,Pizza/Pasta,"Soft drink (non-caffeinated)",Science,8,8,4,"Yes - broadband connection","Text messaging",65,70,10,16,10,20,5,0,5,15,10,5,4,5,Some,"Graduate degree",Country,Fly,Happy,Relative,"Wildlife, animals"
USA,NY,2020,"12        ",Female,17,Right-Handed,170,22,175,2,Car,5,.319,36,Walking/Hiking,800,1000,800,800,1000,1000,25,"Same length",68,76,"Ring finger",April,Winter,Yes,No,Breads/Sandwiches,Water,History,6,8,3,"Yes - broadband connection","In person",5,5,6,0,18,10,5,0,30,5,30,10,0,6,Some,"Undergraduate degree","Rock and roll",Telepathy,Happy,"Musician or singer","Education/Youth development"
USA,NY,2020,"12        ",Female,18,Right-Handed,162,18,159,1,Car,5,.401,41,Soccer,957,930,989,872,701,877,18,"Left foot",75,70,"Index finger",September,Fall,Yes,No,Desserts,Water,Science,7,9,6,"Yes - other","Text messaging",100,100,6+,14,7,10,15,5,15,10,10,8,12,1,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Health
USA,NY,2020,"12        ",Male,18,Right-Handed,167,26,174,2,"Rail (Train/Tram/Subway)",60,.295,46,Basketball,600,700,600,500,600,700,27,"Left foot",80,93,"Ring finger",January,Summer,No,No,Meat,Water,"Mathematics and statistics",6,9,4,"Yes - broadband connection","Text messaging",110,130,6,1,6,4,3,1,8,3,5,10,0,3,"Very little","Undergraduate degree","Rock and roll",Fly,Healthy,"Sports person",Health
USA,NY,2020,"12        ",Female,17,Right-Handed,162,23,150,1,Bicycle,35,0.351,41,Walking/Hiking,90,70,90,90,30,50,22,"Right foot",,,"Ring finger",May,Summer,No,Yes,Pizza/Pasta,Coffee,History,3,12,5,"Yes - broadband connection","Cell phone",54,91,5,15,30,30,15,0,20,3.5,45,15,0,5,"A lot","Graduate degree","Rock and roll",Telepathy,Happy,Politician,"Education/Youth development"
USA,NY,2020,"12        ",Female,17,Right-Handed,175,20,178,2,Car,12,0.233,39,None,481,545,384,460,508,535,21,"Left foot",76,67,"Index finger",November,Fall,No,No,Pizza/Pasta,Water,Music,8,11,4,"Yes - broadband connection","Text messaging",125,224,6,0.5,15,20,0,0,48,50,50,10,20,2,Some,"Graduate degree",Other,Invisibility,Happy,Actor,"International aid"
USA,NY,2020,"12        ",Female,17,Right-Handed,,,,2,"Rail (Train/Tram/Subway)",90,0.459,37,Walking/Hiking,1000,930,1000,1000,610,775,,"Same length",,,"Ring finger",May,Winter,Yes,No,"No favorite",Tea,Art,7.5,10,4,"Yes - broadband connection","Internet chat or instant messaging",175,150,24,2,21,10,0,0,15,21,120,0,0,8,"A lot","Graduate degree",Other,"Freeze time",Happy,Teacher,"Education/Youth development"
USA,NY,2020,"12        ",Female,17,Right-Handed,160.7,24,149.9,1,"Rail (Train/Tram/Subway)",35,0.481,32,Soccer,465,706,412,497,679,850,24.13,"Left foot",7.62,7.62,"Same length",August,Summer,No,No,Pizza/Pasta,Water,History,8,7,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,20,15,30,40,40,15,5,40,15,30,25,0,20,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Actor,Environment
USA,NY,2020,"12        ",Male,17,Right-Handed,185,27,180,1,Car,15,.296,31,Baseball/Softball,765,380,11,513,984,1000,27,"Same length",71,74,"Ring finger",April,Spring,Yes,No,Meat,Milk,Geography,7,9,6,"Yes - broadband connection","In person",70,70,15,0,0,10,16,18,21,4,4,4,0,1,Some,"Some college","Rap/Hip hop",Invisibility,Happy,"Sports person",Health
USA,NY,2020,"12        ",Male,17,Left-Handed,183,25,45,2,Car,10-15,0.44,41,"Football (American)",535,658,743,749,455,455,25,"Same length",12.5,7.5,"Index finger",August,Summer,No,No,Pizza/Pasta,Water,"Physical education",10,7,2,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,100,10,25,23,20,29,53,100,134,156,169,49,12,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,"Sports person","Arts, culture, sports"
USA,NY,2020,"11        ",Male,17,Right-Handed,70,23.5,156,1,Walk,10,.344,40,Soccer,700,700,500,500,50,300,25,"Left foot",80,85,"Ring finger",April,Summer,Yes,No,Meat,Water,History,8,9,5,"Yes - broadband connection","Text messaging",100,86,15,1,5,10,2,7,3,30,5,5,1,1,"Very little","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Environment
USA,NY,2020,"12        ",Female,17,Right-Handed,160,24,160,2,"Rail (Train/Tram/Subway)",15,.393,29,Soccer,631,503,348,348,476,829,24,"Same length",70,80,"Ring finger",August,Fall,Yes,No,"No favorite",Juice,Art,6,8,3,"Yes - broadband connection","Text messaging",34,44,10,12,10,5,2,2,8,14,126,1,4,2,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,Environment
USA,NY,2020,"12        ",Female,17,Right-Handed,67,26.5,171.5,3,Walk,18,.581,45,"Martial Arts",960,910,960,970,965,970,27,"Left foot",70,72,"Ring finger",May,Spring,No,No,"Rice/Noodle dishes",Water,Languages,8,10,4,"Yes - broadband connection","In person",5,6,4,1.5,15,2,3,0,4,2,20,0,0,2,"A lot","Graduate degree",Pop,"Freeze time",Healthy,Relative,"International aid"
USA,NY,2020,"12        ",Female,17,Right-Handed,5.3,"25 ","165 ",1,Car,"9 ",0.74,48,Walking/Hiking,945,990,900,900,850,950,24,"Right foot",76,71,"Index finger",February,Fall,No,No,Fruit,Water,Art,7,10,6,"Yes - broadband connection","Text messaging",50,75,15,20,5,10,10,10,25,5,150,8,8,10,Some,"Undergraduate degree","Rap/Hip hop","Freeze time",Happy,"Doctor or nurse",Environment
USA,NY,2020,"12        ",Female,16,Right-Handed,161,24,162,1,"Rail (Train/Tram/Subway)",37,0.661,37,Other,909,963,973,1000,444,829,24,"Same length",70,70,"Same length",December,Fall,No,No,Breads/Sandwiches,Coffee,Art,5,11,5,"Yes - broadband connection","Text messaging",27,73,0,0.1,1.5,7,2.5,0,10,0.3,57,26,0.2,4,Some,"Graduate degree","Punk rock","Freeze time",Happy,"Musician or singer",Other
USA,NY,2020,"12        ",Male,18,Right-Handed,173,28,175,2,"Rail (Train/Tram/Subway)",50,0.34,53,Basketball,950,977,983,946,570,894,28.5,"Left foot",80,70,"Index finger",January,Summer,Yes,No,Fruit,Water,"Mathematics and statistics",7,8.5,4,"Yes - broadband connection","Text messaging",75,75,15,10,20,15,10,3,12,8,20,6,0,3,Some,"Graduate degree","Rhythm and blues (R&B)","Freeze time",Happy,Relative,"International aid"
USA,NY,2020,"12        ",Male,17,Ambidextrous,175,"25 ",158,2,"Rail (Train/Tram/Subway)",60,.28,40,Basketball,900,1000,200,700,1000,1000,24,"Right foot",76,74,"Index finger",February,Fall,Yes,No,Meat,Water,Science,6,9,3,"Yes - broadband connection","Text messaging",20,30,12,9,12,4,4,1,2,20,30,19,30,10,Some,Other,Techno/Electronic,Telepathy,Happy,Actor,Environment
USA,NY,2020,"12        ",Female,17,Right-Handed,162,22,156,2,"Rail (Train/Tram/Subway)",25,0.385,29,Tennis,701,877,701,770,455,727,23,"Left foot",75,80,"Ring finger",July,Fall,No,No,Fruit,Water,"Mathematics and statistics",8,10,5,"Yes - other","Text messaging",10,150,9,3,9,7,3,0,3,1,59,10,0,2,Some,"Graduate degree","Rap/Hip hop",Fly,Healthy,Teacher,"Education/Youth development"
USA,NY,2020,"12        ",Male,17,Right-Handed,69,11.5,170,2,Bus,20,0.04,49,Basketball,8,9,7,7,8,8,11.4,"Right foot",29,30,"Ring finger",May,Fall,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"12        ",Female,16,Right-Handed,163,24,159,2,"Rail (Train/Tram/Subway)",90,0.339,40,Athletics,1000,930,930,930,850,850,25,"Left foot",80,85,"Index finger",September,Fall,No,No,"Rice/Noodle dishes",Water,Science,6,10,4,"Yes - dial-up connection","Text messaging",30,40,"0 hrs","2 hrs","20 hr","3 hrs","0 hrs","1 hrs","6 hrs","5 hrs","50 hr","7 hrs","0 hrs","3 hrs","A lot","Graduate degree","Rap/Hip hop","Freeze time",Healthy,"Community leader or elder","International aid"
USA,NY,2020,"12        ",Male,19,Right-Handed,181,42,102,2,Car,10,0.198,32,Bowling,775,487,1000,711,1000,911,42,"Same length",,,"Index finger",April,Fall,No,No,"Rice/Noodle dishes",Water,Music,11.30,7,3,"Yes - dial-up connection","Internet chat or instant messaging",0,0,2,1,2,1,0,3,2,4,5,0,2,1,"Very little","Less than high school",Country,"Freeze time",Rich,Friend,Health
USA,NY,2020,"10        ",Male,17,Right-Handed,176,24,184,1,Car,10,0.261,36,Basketball,750,750,600,800,100,450,23,"Right foot",3.2'',3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"12        ",Male,17,Right-Handed,"175 ",27.9,177,1,Bus,"10 ",0.456,53,"Football (American)",850,800,700,700,300,650,27.9,"Same length",80,85,"Ring finger",March,Summer,No,No,Meat,Water,History,6,10,4,"Yes - other","Text messaging",30,30,14,3,6,4,25,14,10,5,6,8,0,5,Some,"High school","Rap/Hip hop",Telepathy,Happy,"Sports person",Environment
USA,NY,2020,"10        ",Male,15,,"6 ft",26.67,182.8,1,Bus,30,.422,54sec,Basketball,508,503,695,789,491,1000,26.7,"Same length",76,78,"Ring finger",May,Summer,No,No,Poultry,Water,Other,4,8,6,"Yes - broadband connection","Text messaging",75,75,0,"1 hr","1 hr",30min,"3 hr","2 hr",30min,"1 hr","5 hr",0,0,20min,"A lot","Some college","Rap/Hip hop",Telepathy,Rich,"Business person",Health
USA,NY,2020,"12        ",Female,16,Right-Handed,167,22,171,1,"Rail (Train/Tram/Subway)",80,0.397,46,Cycling,765,417,775,866,540,663,23,"Left foot",76.2,76.2,"Same length",November,Fall,No,No,Meat,Juice,"Social studies",8,4,6,"Yes - broadband connection","Text messaging",15,150,0,15,21,5,0,0,35,35,49,35,0,7,Some,"Graduate degree","Rhythm and blues (R&B)","Freeze time",Rich,Relative,"International aid"
USA,NY,2020,"12        ",Male,17,Right-Handed,170,27,170,1,Car,7,0.366,38,"Football (American)",1000,1000,1000,1000,800,1000,27,"Right foot",60,70,"Ring finger",September,Summer,Yes,No,Pizza/Pasta,Water,Science,6,10,5,"Yes - broadband connection","Cell phone",100,100,0,20,10,10,10,0,20,20,20,20,0,3,Some,"Undergraduate degree","Rap/Hip hop","Super strength",Rich,"Sports person","Wildlife, animals"
USA,NY,2020,"12        ",Male,17,Right-Handed,180,25.4,172,2,"Rail (Train/Tram/Subway)",30,.344,38,Other,897,978,679,680,1000,1000,25,"Right foot",78,79,"Ring finger",July,Winter,Yes,No,"Rice/Noodle dishes",Water,"Computers and technology",6,12,4,"Yes - broadband connection","Text messaging",0,0,.5,0,9,0,0,6,0,0,84,0,0,0,"A lot","Undergraduate degree",Pop,"Freeze time",Happy,"Business person",Other
USA,NY,2020,"12        ",Male,16,Right-Handed,184,26,180,1,Car,4,.344,46,Walking/Hiking,878,956,768,839,251,709,26,"Same length",83,91,"Ring finger",June,Winter,No,No,Fruit,Water,Art,6,5,3,"Yes - broadband connection","Cell phone",3,7,10,<1,4,2,2,5,15,2,20,3,12,10,"A lot","Undergraduate degree","Punk rock","Freeze time",Famous,"Musician or singer",Environment
USA,NY,2020,"12        ",Female,17,Right-Handed,151,22.5,155.5,3,"Rail (Train/Tram/Subway)",20,0.661,49,Swimming,770,460,118,770,888,1000,23,"Right foot",72,70,"Index finger",December,Spring,No,No,"No favorite",Water,Science,7,10,5,"Yes - broadband connection","Text messaging",40,25,5,3,42,2,1,0,16,1,40,0,0,5,"A lot","Graduate degree",Pop,Fly,Happy,Relative,Health
USA,NY,2020,"12        ",Male,17,Right-Handed,180,10.75,181,2,Bus,50,.244,29,Basketball,800,1000,1000,500,700,1000,11,"Left foot",762,781,"Ring finger",February,Fall,No,No,Poultry,Water,"Mathematics and statistics",4,3,4,"Yes - broadband connection","Text messaging",34,60,9,2,30,12,14,26,14,11,77,0,0,13,Some,"Graduate degree",Gospel,"Freeze time",Happy,Other,"International aid"
USA,NY,2020,"12        ",Male,17,Right-Handed,178,0,0,2,Walk,11,.393,37,Basketball,733,492,481,620,118,112,0,"Left foot",0,0,"Index finger",January,Winter,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,50,10,2,8,5,15,2,8,3,5,8,0,4,Some,"Undergraduate degree","Rap/Hip hop","Super strength",Famous,"Sports person","International aid"
USA,NY,2020,"12        ",Female,17,Right-Handed,179,24.5,182.5,3,Bus,35,.408,78,Swimming,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"11        ",Female,16,Right-Handed,152.4,22.86,83.82,2,Bus,35,0.403,43,Soccer,497,615,508,583,749,904,22.86,"Same length",76.2,81.82,"Ring finger",May,Fall,No,No,"Rice/Noodle dishes",Tea,Art,5,3,8,"Yes - broadband connection","Text messaging",4,5,0,6,5,2,0,3,0,3,9,2,0,7,Some,"Graduate degree",Other,Telepathy,Happy,"Musician or singer","Wildlife, animals"
USA,NY,2020,"11        ",Female,17,Right-Handed,170,7,170,1,Car,15,.334,36,Other,700,650,600,600,900,900,7,"Same length",45,43,"Index finger",June,Spring,No,No,"Rice/Noodle dishes",Water,Art,4,10,2,"Yes - broadband connection","Internet chat or instant messaging",20,30,15,2,1,3,0,15,5,5,15,2,0,5,Some,"Undergraduate degree",Other,"Freeze time",Happy,Other,Health
USA,NY,2020,"12        ",Male,16,Right-Handed,185.4,25.4,188,2,"Rail (Train/Tram/Subway)",65,0.292,45,"Football (American)",600,600,600,600,800,900,25.4,"Same length",81,86,"Ring finger",November,Fall,Yes,No,Meat,Water,"Mathematics and statistics",8,10,7,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",60,120,0,8,14,5,2,40,15,2,25,1,0,3,Some,"Graduate degree","Rap/Hip hop","Super strength",Happy,"Religious figure",Religious
USA,NY,2020,"12        ",Female,17,Right-Handed,152,9.25,149.5,1,"Rail (Train/Tram/Subway)",90,.35,44,Running/Jogging,936,406,348,294,893,1000,9.25,"Same length",80,90,"Ring finger",June,Fall,Yes,No,Pizza/Pasta,Water,Art,6.5,12,5,"Yes - other","Cell phone",59,70,28,14,28,7,0,0,49,142,70,7,0,4,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Other,"Arts, culture, sports"
USA,NY,2020,"10        ",Female,16,Right-Handed,4´10,"8 1/2",21,two,Bus,10-15,.1722,49,Soccer,100,100,100,100,0,100,"8 1/2","Same length",2500,3000,"Ring finger",January,Spring,No,No,Fruit,Water,Science,7,5,6,"Yes - other","Internet chat or instant messaging",20,20,5,3,15min,5,2,1,2,3,5,2,,1,"Very little",Other,"Rap/Hip hop","Super strength",Famous,"Doctor or nurse","International aid"
USA,NY,2020,"12        ",Female,17,Right-Handed,162,22,32,2,"Rail (Train/Tram/Subway)",30,0.752,52,None,1000,1000,1000,1000,1000,1000,22,"Same length",88.9,88.9,"Same length",November,Summer,No,No,Fruit,Water,"Mathematics and statistics",8,8,4,"Yes - broadband connection","Internet chat or instant messaging",40,50,8,1,3,12,2,0,4,4,4,4,4,3,"A lot","High school",Pop,Invisibility,Healthy,Relative,Health
USA,NY,2020,"11        ",Male,18,Right-Handed,170,25,170,1,Car,"2 ",.656,37,Skateboarding/Rollerblading,1000,1000,800,1000,600,600,25,"Same length",80,75,"Index finger",March,Summer,Yes,No,"No favorite",Water,Art,7,7,5,"Yes - other","Text messaging",100,120,10,10,10,10,10,10,10,10,10,10,10,10,Some,"Graduate degree","Punk rock","Super strength",Healthy,"Musician or singer","Arts, culture, sports"
USA,NY,2020,"12        ",Female,17,Right-Handed,161.3,23.5,167,2,"Rail (Train/Tram/Subway)",15,0.311,36,Other,1000,850,1000,1000,417,700,23.5,"Same length",75,70,"Index finger",January,Winter,Yes,No,Meat,Water,English,7,6,6,"Yes - other","Text messaging",50,70,3,3,15,10,2,0,5,8,15,6,0,10,Some,"Graduate degree",Pop,"Freeze time",Happy,"Religious figure","International aid"
USA,NY,2020,"12        ",Female,17,Right-Handed,170,25,175,1,"Rail (Train/Tram/Subway)",60,0.41,37,Other,600,700,700,800,1000,1000,24,"Right foot",70,75,"Ring finger",July,Summer,No,No,"No favorite",Water,"Mathematics and statistics",7,8,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",70,100,7,4,14,3,3,0,20,4,4,30,0,2,Some,"Graduate degree","Rap/Hip hop",Fly,Famous,Relative,"International aid"
USA,NY,2020,"12        ",Male,17,Right-Handed,185,26,183,1,Car,3,0.45,42,Soccer,,,,,,,26,"Same length",70,76,"Ring finger",July,Spring,No,No,Pizza/Pasta,Water,History,6,9,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,5,15,0.5,2,2,15,15,3,0.5,1,5,0,3,None,"Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,NY,2020,"12        ",Female,17,Right-Handed,167,24,167,1,"Rail (Train/Tram/Subway)",20,3,30,Other,700,700,700,700,700,700,24,"Same length",70,70,"Same length",August,Spring,Yes,No,"No favorite",Other,"Mathematics and statistics",9,11,3,"Yes - broadband connection","Text messaging",50,30,7,3,5,7,7,1,7,7,7,7,0,7,Some,"Graduate degree",Other,Fly,Rich,"Sports person",Other
USA,NY,2020,"12        ",Female,17,Right-Handed,176.5,25.4,185.4,2,Bus,10,0.574,44,Other,1000,550,652,605,700,701,26.67,"Left foot",88.9,88.9,"Same length",October,Summer,Yes,No,Pizza/Pasta,Water,"Social studies",7,9,4,"Yes - broadband connection","Text messaging",81,77,13,10,20,10,5,0,16,3,15,20,10,2,"A lot","Graduate degree","Rhythm and blues (R&B)","Freeze time",Rich,Actor,"International aid"
USA,NY,2020,"12        ",Male,17,Right-Handed,160,23,163,1,"Rail (Train/Tram/Subway)",100,0.331,44,"Martial Arts",674,856,390,380,230,652,22,"Right foot",66,69,"Ring finger",September,Spring,No,Yes,Fruit,Water,Other,7-8,9-10,5,"Yes - broadband connection","Internet chat or instant messaging",20,200,18,0,4,2,25,1,10,10,28,10,0,3,Some,"Graduate degree",Other,Telepathy,Happy,"Religious figure","Wildlife, animals"
USA,NY,2020,"12        ",Female,16,Right-Handed,152.4,"12.7 ",61cm,2,Bus,75,"0.65 ",44,Golf,900,700,700,700,500,800,12.7,"Same length",60,60,"Same length",January,Spring,Yes,No,Meat,Water,Music,8,6-7,4,"Yes - broadband connection","Text messaging",10,17,0,6-7,10,5,3,0,4,5,7-8,3,0,2,"A lot","Undergraduate degree","Rhythm and blues (R&B)",Invisibility,Healthy,Other,Health
USA,NY,2020,"10        ",Male,16,Ambidextrous,163,27.5,,1,Car,10,0.383,38,Other,620,524,820,877,139,27,27.3,"Right foot",,,,November,Fall,Yes,No,Meat,Milk,Science,6,11,7,"Yes - broadband connection","Internet chat or instant messaging",3-5,5-10,,0,3,1,1,,,,,,,,,,,,,,
USA,NY,2020,"12        ",Male,17,Ambidextrous,175,24,66,1,Car,3,0.302,36,Soccer,700,800,600,740,500,500,25,"Left foot",889,762,"Index finger",July,Summer,No,No,Meat,Water,Science,8,10,4,"Yes - broadband connection","Text messaging",20,10,2,5,5,5,15,0,20,3,2,10,3,2,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,NY,2020,"12        ",Female,17,Left-Handed,172,25,173,2,"Rail (Train/Tram/Subway)",20,0.371,38,Swimming,980,980,980,980,500,600,24,"Right foot",800,800,"Same length",March,Summer,No,No,Meat,Tea,,6,9,2,"Yes - broadband connection","Text messaging",100,105,4,2,20,10,23,11,15,11,10,6,14,6,Some,"Graduate degree",Pop,Telepathy,Healthy,Relative,Environment
USA,NY,2020,"12        ",Female,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"10        ",Male,16,Right-Handed,,,,1,Bus,20,0.316,52,None,500,500,500,500,700,700,10,"Same length",,,"Same length",March,Winter,No,No,Meat,"Energy drink",History,1,0,5,"Yes - dial-up connection","Text messaging",9,5,6,3,0,4,3,9,0,1,2,1,6,5,None,"High school",Other,Invisibility,Happy,Other,Other
USA,NY,2020,"12        ",Male,17,Right-Handed,180,29,205,1,"Rail (Train/Tram/Subway)",35,.695,56,"Football (American)",850,850,750,500,1000,1000,28,"Right foot",8.5,8,"Index finger",November,Spring,Yes,No,Meat,Water,Science,6.5,8.5,4,"Yes - broadband connection","In person",20,15,7,.5,11,7,7,6,5,3,40,0,0,1,"A lot","Undergraduate degree",Pop,Telepathy,Happy,Relative,Health
USA,NY,2020,"12        ",Female,16,Right-Handed,5'5,23.87,67.3,1,"Rail (Train/Tram/Subway)",70,0.375,13,Running/Jogging,1000,1000,1000,1000,1000,"1000 ",23.79,"Right foot",78.74,76.2,"Index finger",December,Summer,Yes,No,Poultry,Water,"Social studies",7,10,2,"Yes - dial-up connection","Cell phone",45,150,0,8,30,12,5,0,2,1,16,8,0,4,Some,"Graduate degree","Rhythm and blues (R&B)",Fly,Happy,Relative,"International aid"
USA,NY,2020,"12        ",Male,17,Right-Handed,,,,1,Car,25,0.366,36,Walking/Hiking,342,455,112,171,545,1000,,,,,,August,Winter,No,No,Poultry,Water,"Mathematics and statistics",8,9,4,"Yes - other","Internet chat or instant messaging",,,,,,,,,,,,,,,"A lot","Less than high school","Rap/Hip hop",Invisibility,Rich,"Business person","Wildlife, animals"
USA,NY,2020,"12        ",Female,17,Right-Handed,175,25,185,1,"Rail (Train/Tram/Subway)",55,0.431,43,Athletics,800,700,900,900,800,1000,24,"Right foot",8,8.2,"Ring finger",September,Fall,Yes,No,Pizza/Pasta,Water,Science,5,10,4,"Yes - broadband connection","In person",100,100,6,3,"8 ",8,5,0,12,5,6,2,0,7,"A lot","Graduate degree","Rhythm and blues (R&B)",Fly,Healthy,Relative,Health
USA,NY,2020,"12        ",Female,17,Right-Handed,5'2,20,139,1,Walk,"1 min",0.924,"52 ","Hockey (Ice)",877,802,647,"1000 ",1000,1000,20,"Same length","10 ",10,"Same length",September,Summer,No,No,Poultry,Water,English,9,11,4,"Yes - other","Cell phone",12,20,10-12,"7 hr","14 hr","84 hr","16 hr","0 hr","21 hr","14 hr","14 hr","10 hr","0 hr","14 hr",Some,"Graduate degree",Country,Fly,Healthy,Relative,Health
USA,NY,2020,"12        ",Male,17,Right-Handed,173,28,182,2,"Rail (Train/Tram/Subway)",60,0.579,50,"Martial Arts",818,695,608,845,1000,1000,28.5,"Left foot",9,8,"Index finger",October,Summer,No,Yes,"No favorite",Water,English,6,9,3,"Yes - broadband connection","Text messaging",100,100,5,0,6,6,4,0,0,8,7,7,1,5,"A lot","Graduate degree",Other,Invisibility,Happy,Friend,"Education/Youth development"
USA,NY,2020,"12        ",Male,17,Right-Handed,164,26,164,3,Bus,5,.43,39,Soccer,800,700,500,700,1000,1000,26,"Same length",70,74,"Ring finger",December,Summer,Yes,No,Meat,Water,Science,6,7,4,"Yes - broadband connection","Text messaging",100,100,0,1,40,5,5,10,12,7,70,0,0,5,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"International aid"
